Periodo	IndPluvio	TempMax	TempMin	UmidadeAr	
12-2004	0.0	0.0	0.0	0.0	
1-2005	0.0	0.0	0.0	0.0	
2-2005	0.0	0.0	0.0	0.0	
3-2005	0.0	0.0	0.0	0.0	
4-2005	0.0	0.0	0.0	0.0	
5-2005	0.0	0.0	0.0	0.0	
6-2005	0.0	0.0	0.0	0.0	
7-2005	0.0	0.0	0.0	0.0	
8-2005	0.0	0.0	0.0	0.0	
9-2005	0.0	0.0	0.0	0.0	
10-2005	0.0	0.0	0.0	0.0	
11-2005	0.0	0.0	0.0	0.0	
1-2003 	inexistente 	inexistente 	inexistente 	inexistente 
2-2003 	inexistente 	inexistente 	inexistente 	inexistente 
3-2003 	inexistente 	inexistente 	inexistente 	inexistente 
4-2003 	inexistente 	inexistente 	inexistente 	inexistente 
5-2003 	inexistente 	inexistente 	inexistente 	inexistente 
6-2003 	inexistente 	inexistente 	inexistente 	inexistente 
7-2003 	inexistente 	inexistente 	inexistente 	inexistente 
8-2003 	inexistente 	inexistente 	inexistente 	inexistente 
9-2003 	20.316964285714285 	33.62755102040816 	21.746598639455783 	78.61904761904762 
10-2003 	14.36491935483871 	33.493068356374806 	21.893509984639014 	77.21774193548387 
11-2003 	2.05 	34.159186507936504 	22.207142857142856 	74.575 
12-2003 	26.063508064516128 	33.67741935483871 	22.5014400921659 	77.08064516129032 
1-2004 	85.2302707373272 	31.396889400921655 	23.100864055299535 	84.08064516129032 
2-2004 	278.54956896551727 	30.187192118226598 	22.797885878489325 	88.65086206896552 
3-2004 	240.49899193548387 	30.4915514592934 	23.092261904761905 	89.38306451612904 
4-2004 	155.52291666666667 	31.609821428571426 	23.042261904761908 	87.26666666666667 
5-2004 	109.60631720430108 	32.44374039938556 	22.93394777265745 	85.1263440860215 
6-2004 	81.034375 	31.813591269841265 	21.95426587301587 	85.17916666666666 
7-2004 	91.96370967741936 	31.611597542242706 	21.725998463901686 	84.50806451612904 
8-2004 	155.613125 	31.87462301587302 	21.796865079365077 	84.47916666666667 
9-2004 	68.0047619047619 	32.69690476190477 	21.909801587301583 	80.28928571428573 
10-2004 	16.8408698156682 	33.45975422427036 	21.937999231950844 	76.36751152073732 
11-2004 	13.146875 	33.99902777777778 	21.58615079365079 	73.6625 
12-2004 	13.657834101382488 	33.975806451612904 	22.547868663594468 	74.32983870967742 
1-2005 	67.50362903225808 	33.215360983102926 	22.896774193548378 	79.35161290322581 
2-2005 	109.50207270408164 	31.751551870748298 	23.502125850340143 	86.01977040816327 
3-2005 	155.9786866359447 	31.226574500768045 	23.201920122887863 	88.73617511520737 
4-2005 	149.30228858784895 	31.07750410509031 	23.05480295566502 	90.09174876847291 
5-2005 	113.20152649769585 	31.54719662058372 	22.902899385560676 	89.1491935483871 
6-2005 	inexistente 	inexistente 	inexistente 	inexistente 
7-2005 	183.07067307692307 	32.25817307692307 	22.151694139194134 	84.82211538461539 
8-2005 	18.761458333333334 	32.954047619047614 	22.403928571428573 	83.1875 
9-2005 	23.979166666666668 	0.0 	0.0 	0.0 
10-2005 	0.0020833333333333333 	0.03333333333333333 	0.0 	0.13333333333333333 
11-2005 	0.008333333333333333 	0.0 	0.0 	0.4444444444444445 
12-2005 	3.7747844827586206 	0.0 	0.0 	0.22844827586206898 
1-2003 	inexistente 	inexistente 	inexistente 	inexistente 
2-2003 	inexistente 	inexistente 	inexistente 	inexistente 
3-2003 	inexistente 	inexistente 	inexistente 	inexistente 
4-2003 	inexistente 	inexistente 	inexistente 	inexistente 
5-2003 	inexistente 	inexistente 	inexistente 	inexistente 
6-2003 	inexistente 	inexistente 	inexistente 	inexistente 
7-2003 	inexistente 	inexistente 	inexistente 	inexistente 
8-2003 	inexistente 	inexistente 	inexistente 	inexistente 
9-2003 	20.316964285714285 	33.62755102040816 	21.746598639455783 	78.61904761904762 
10-2003 	14.36491935483871 	33.493068356374806 	21.893509984639014 	77.21774193548387 
11-2003 	2.05 	34.159186507936504 	22.207142857142856 	74.575 
12-2003 	26.063508064516128 	33.67741935483871 	22.5014400921659 	77.08064516129032 
1-2004 	85.2302707373272 	31.396889400921655 	23.100864055299535 	84.08064516129032 
2-2004 	278.54956896551727 	30.187192118226598 	22.797885878489325 	88.65086206896552 
3-2004 	240.49899193548387 	30.4915514592934 	23.092261904761905 	89.38306451612904 
4-2004 	155.52291666666667 	31.609821428571426 	23.042261904761908 	87.26666666666667 
5-2004 	109.60631720430108 	32.44374039938556 	22.93394777265745 	85.1263440860215 
6-2004 	81.034375 	31.813591269841265 	21.95426587301587 	85.17916666666666 
7-2004 	91.96370967741936 	31.611597542242706 	21.725998463901686 	84.50806451612904 
8-2004 	155.613125 	31.87462301587302 	21.796865079365077 	84.47916666666667 
9-2004 	68.0047619047619 	32.69690476190477 	21.909801587301583 	80.28928571428573 
10-2004 	16.8408698156682 	33.45975422427036 	21.937999231950844 	76.36751152073732 
11-2004 	13.146875 	33.99902777777778 	21.58615079365079 	73.6625 
12-2004 	13.657834101382488 	33.975806451612904 	22.547868663594468 	74.32983870967742 
1-2005 	67.50362903225808 	33.215360983102926 	22.896774193548378 	79.35161290322581 
2-2005 	109.50207270408164 	31.751551870748298 	23.502125850340143 	86.01977040816327 
3-2005 	155.9786866359447 	31.226574500768045 	23.201920122887863 	88.73617511520737 
4-2005 	149.30228858784895 	31.07750410509031 	23.05480295566502 	90.09174876847291 
5-2005 	113.20152649769585 	31.54719662058372 	22.902899385560676 	89.1491935483871 
6-2005 	inexistente 	inexistente 	inexistente 	inexistente 
7-2005 	183.07067307692307 	32.25817307692307 	22.151694139194134 	84.82211538461539 
8-2005 	18.761458333333334 	32.954047619047614 	22.403928571428573 	83.1875 
9-2005 	23.979166666666668 	0.0 	0.0 	0.0 
10-2005 	0.0020833333333333333 	0.03333333333333333 	0.0 	0.13333333333333333 
11-2005 	0.008333333333333333 	0.0 	0.0 	0.4444444444444445 
12-2005 	3.7747844827586206 	0.0 	0.0 	0.22844827586206898 
1-2003 	inexistente 	inexistente 	inexistente 	inexistente 
2-2003 	inexistente 	inexistente 	inexistente 	inexistente 
3-2003 	inexistente 	inexistente 	inexistente 	inexistente 
4-2003 	inexistente 	inexistente 	inexistente 	inexistente 
5-2003 	inexistente 	inexistente 	inexistente 	inexistente 
6-2003 	inexistente 	inexistente 	inexistente 	inexistente 
7-2003 	inexistente 	inexistente 	inexistente 	inexistente 
8-2003 	inexistente 	inexistente 	inexistente 	inexistente 
9-2003 	20.316964285714285 	33.62755102040816 	21.746598639455783 	78.61904761904762 
10-2003 	14.36491935483871 	33.493068356374806 	21.893509984639014 	77.21774193548387 
11-2003 	2.05 	34.159186507936504 	22.207142857142856 	74.575 
12-2003 	26.063508064516128 	33.67741935483871 	22.5014400921659 	77.08064516129032 
1-2004 	85.2302707373272 	31.396889400921655 	23.100864055299535 	84.08064516129032 
2-2004 	278.54956896551727 	30.187192118226598 	22.797885878489325 	88.65086206896552 
3-2004 	240.49899193548387 	30.4915514592934 	23.092261904761905 	89.38306451612904 
4-2004 	155.52291666666667 	31.609821428571426 	23.042261904761908 	87.26666666666667 
5-2004 	109.60631720430108 	32.44374039938556 	22.93394777265745 	85.1263440860215 
6-2004 	81.034375 	31.813591269841265 	21.95426587301587 	85.17916666666666 
7-2004 	91.96370967741936 	31.611597542242706 	21.725998463901686 	84.50806451612904 
8-2004 	155.613125 	31.87462301587302 	21.796865079365077 	84.47916666666667 
9-2004 	68.0047619047619 	32.69690476190477 	21.909801587301583 	80.28928571428573 
10-2004 	16.8408698156682 	33.45975422427036 	21.937999231950844 	76.36751152073732 
11-2004 	13.146875 	33.99902777777778 	21.58615079365079 	73.6625 
12-2004 	13.657834101382488 	33.975806451612904 	22.547868663594468 	74.32983870967742 
1-2005 	67.50362903225808 	33.215360983102926 	22.896774193548378 	79.35161290322581 
2-2005 	109.50207270408164 	31.751551870748298 	23.502125850340143 	86.01977040816327 
3-2005 	155.9786866359447 	31.226574500768045 	23.201920122887863 	88.73617511520737 
4-2005 	149.30228858784895 	31.07750410509031 	23.05480295566502 	90.09174876847291 
5-2005 	113.20152649769585 	31.54719662058372 	22.902899385560676 	89.1491935483871 
6-2005 	inexistente 	inexistente 	inexistente 	inexistente 
7-2005 	183.07067307692307 	32.25817307692307 	22.151694139194134 	84.82211538461539 
8-2005 	18.761458333333334 	32.954047619047614 	22.403928571428573 	83.1875 
9-2005 	23.979166666666668 	0.0 	0.0 	0.0 
10-2005 	0.0020833333333333333 	0.03333333333333333 	0.0 	0.13333333333333333 
11-2005 	0.008333333333333333 	0.0 	0.0 	0.4444444444444445 
12-2005 	3.7747844827586206 	0.0 	0.0 	0.22844827586206898 
1-2003 	inexistente 	inexistente 	inexistente 	inexistente 
2-2003 	inexistente 	inexistente 	inexistente 	inexistente 
3-2003 	inexistente 	inexistente 	inexistente 	inexistente 
4-2003 	inexistente 	inexistente 	inexistente 	inexistente 
5-2003 	inexistente 	inexistente 	inexistente 	inexistente 
6-2003 	inexistente 	inexistente 	inexistente 	inexistente 
7-2003 	inexistente 	inexistente 	inexistente 	inexistente 
8-2003 	inexistente 	inexistente 	inexistente 	inexistente 
9-2003 	20.316964285714285 	33.62755102040816 	21.746598639455783 	78.61904761904762 
10-2003 	14.36491935483871 	33.493068356374806 	21.893509984639014 	77.21774193548387 
11-2003 	2.05 	34.159186507936504 	22.207142857142856 	74.575 
12-2003 	26.063508064516128 	33.67741935483871 	22.5014400921659 	77.08064516129032 
1-2004 	85.2302707373272 	31.396889400921655 	23.100864055299535 	84.08064516129032 
2-2004 	278.54956896551727 	30.187192118226598 	22.797885878489325 	88.65086206896552 
3-2004 	240.49899193548387 	30.4915514592934 	23.092261904761905 	89.38306451612904 
4-2004 	155.52291666666667 	31.609821428571426 	23.042261904761908 	87.26666666666667 
5-2004 	109.60631720430108 	32.44374039938556 	22.93394777265745 	85.1263440860215 
6-2004 	81.034375 	31.813591269841265 	21.95426587301587 	85.17916666666666 
7-2004 	91.96370967741936 	31.611597542242706 	21.725998463901686 	84.50806451612904 
8-2004 	155.613125 	31.87462301587302 	21.796865079365077 	84.47916666666667 
9-2004 	68.0047619047619 	32.69690476190477 	21.909801587301583 	80.28928571428573 
10-2004 	16.8408698156682 	33.45975422427036 	21.937999231950844 	76.36751152073732 
11-2004 	13.146875 	33.99902777777778 	21.58615079365079 	73.6625 
12-2004 	13.657834101382488 	33.975806451612904 	22.547868663594468 	74.32983870967742 
1-2005 	67.50362903225808 	33.215360983102926 	22.896774193548378 	79.35161290322581 
2-2005 	109.50207270408164 	31.751551870748298 	23.502125850340143 	86.01977040816327 
3-2005 	155.9786866359447 	31.226574500768045 	23.201920122887863 	88.73617511520737 
4-2005 	149.30228858784895 	31.07750410509031 	23.05480295566502 	90.09174876847291 
5-2005 	113.20152649769585 	31.54719662058372 	22.902899385560676 	89.1491935483871 
6-2005 	inexistente 	inexistente 	inexistente 	inexistente 
7-2005 	183.07067307692307 	32.25817307692307 	22.151694139194134 	84.82211538461539 
8-2005 	18.761458333333334 	32.954047619047614 	22.403928571428573 	83.1875 
9-2005 	23.979166666666668 	0.0 	0.0 	0.0 
10-2005 	0.0020833333333333333 	0.03333333333333333 	0.0 	0.13333333333333333 
11-2005 	0.008333333333333333 	0.0 	0.0 	0.4444444444444445 
12-2005 	3.7747844827586206 	0.0 	0.0 	0.22844827586206898 
1-2003 	inexistente 	inexistente 	inexistente 	inexistente 
2-2003 	inexistente 	inexistente 	inexistente 	inexistente 
3-2003 	inexistente 	inexistente 	inexistente 	inexistente 
4-2003 	inexistente 	inexistente 	inexistente 	inexistente 
5-2003 	inexistente 	inexistente 	inexistente 	inexistente 
6-2003 	inexistente 	inexistente 	inexistente 	inexistente 
7-2003 	inexistente 	inexistente 	inexistente 	inexistente 
8-2003 	inexistente 	inexistente 	inexistente 	inexistente 
9-2003 	20.316964285714285 	33.62755102040816 	21.746598639455783 	78.61904761904762 
10-2003 	14.36491935483871 	33.493068356374806 	21.893509984639014 	77.21774193548387 
11-2003 	2.05 	34.159186507936504 	22.207142857142856 	74.575 
12-2003 	26.063508064516128 	33.67741935483871 	22.5014400921659 	77.08064516129032 
1-2004 	85.2302707373272 	31.396889400921655 	23.100864055299535 	84.08064516129032 
2-2004 	278.54956896551727 	30.187192118226598 	22.797885878489325 	88.65086206896552 
3-2004 	240.49899193548387 	30.4915514592934 	23.092261904761905 	89.38306451612904 
4-2004 	155.52291666666667 	31.609821428571426 	23.042261904761908 	87.26666666666667 
5-2004 	109.60631720430108 	32.44374039938556 	22.93394777265745 	85.1263440860215 
6-2004 	81.034375 	31.813591269841265 	21.95426587301587 	85.17916666666666 
7-2004 	91.96370967741936 	31.611597542242706 	21.725998463901686 	84.50806451612904 
8-2004 	155.613125 	31.87462301587302 	21.796865079365077 	84.47916666666667 
9-2004 	68.0047619047619 	32.69690476190477 	21.909801587301583 	80.28928571428573 
10-2004 	16.8408698156682 	33.45975422427036 	21.937999231950844 	76.36751152073732 
11-2004 	13.146875 	33.99902777777778 	21.58615079365079 	73.6625 
12-2004 	13.657834101382488 	33.975806451612904 	22.547868663594468 	74.32983870967742 
1-2005 	67.50362903225808 	33.215360983102926 	22.896774193548378 	79.35161290322581 
2-2005 	109.50207270408164 	31.751551870748298 	23.502125850340143 	86.01977040816327 
3-2005 	155.9786866359447 	31.226574500768045 	23.201920122887863 	88.73617511520737 
4-2005 	149.30228858784895 	31.07750410509031 	23.05480295566502 	90.09174876847291 
5-2005 	113.20152649769585 	31.54719662058372 	22.902899385560676 	89.1491935483871 
6-2005 	inexistente 	inexistente 	inexistente 	inexistente 
7-2005 	183.07067307692307 	32.25817307692307 	22.151694139194134 	84.82211538461539 
8-2005 	18.761458333333334 	32.954047619047614 	22.403928571428573 	83.1875 
9-2005 	23.979166666666668 	0.0 	0.0 	0.0 
10-2005 	0.0020833333333333333 	0.03333333333333333 	0.0 	0.13333333333333333 
11-2005 	0.008333333333333333 	0.0 	0.0 	0.4444444444444445 
12-2005 	3.7747844827586206 	0.0 	0.0 	0.22844827586206898 
